#Index,Spectrum No,R,    Theta,            Q,            Phi,        Monitor
154,155,2.654532176918,99.82367638482,13.12477314857,-0.1011489302136,no
155,156,2.653148180047,100.4509339173,13.18504836011,-0.2495177818094,no
156,157,2.651918862043,101.0793106008,13.24503499177,-0.3286274335449,no
157,158,2.603171398242,101.6930541197,13.30324023892,0.04997808299633,no
158,159,2.578515533267,102.3236682589,13.36264792615,0.07556474454698,no
159,160,2.688627117313,102.9260969609,13.41902244376,0.2805458663497,no
160,161,2.772999145209,103.6655135836,13.4877089945,0.4761613105124,no
161,162,2.690340667963,104.2928853882,13.54554711019,0.485239694112,no
162,163,2.6533883565,104.8654283806,13.59797620076,0.3132129793088,no
163,164,2.656339661106,105.4941684527,13.65516026915,0.1856771914762,no
164,165,2.6549315717,106.1275031489,13.7123466124,-0.06152241340023,no
165,166,2.653887575144,106.7604397225,13.76907853981,0.1954842957937,no
166,167,2.651692554244,107.3891093289,13.82501218147,0.2129271388397,no
167,168,2.652246785906,108.017012425,13.88046228085,0.08687004461452,no
168,169,2.6570556216,108.6485784767,13.93581544164,-0.07627141772517,no
169,170,2.654850391475,109.2805328092,13.99077892729,0.1351954857789,no
170,171,2.654598420119,109.9121598362,14.04528876951,0.536520350182,no
